Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Ssr4,334.5600026,169.0949031,334.5600026,169.0949031,298.5694736,313.3659253,247.5570213,112.2717196,235.0669789,152.5898227,247.3716379,173.9274356,231.5823145,243.8383911,241.9000381,134.2609566,279.6998147,123.6020976,198.327423,181.5073157,285.1191708,216.1161292,214.4806059,76.36357306,255.2278837,223.2139601,187.8233252,116.5138049
Snrpa,119.5194863,134.867378,119.5194863,134.867378,108.645285,98.96783108,117.1474115,159.5510001,79.58704963,131.0199994,63.73883682,89.08303705,124.0779167,124.8160447,45.57915453,58.39808541,91.62715157,127.1720765,43.47796935,56.69806576,103.8122069,128.0113649,52.31038367,58.95362728,119.636077,126.0925624,44.24796401,63.84029969
Cd180,59.09047476,28.71393945,59.09047476,28.71393945,34.98781715,30.50074254,47.75272426,28.72412259,34.50402518,31.44574946,67.91495897,60.98252431,48.07919189,41.2128972,71.32129899,63.21130797,44.54449938,22.60924771,94.19016091,101.9068091,36.40065529,30.16943796,129.6379025,45.57751531,23.7250081,24.09894495,83.87707888,40.90824274
Snrpc,231.4118793,257.2418809,231.4118793,257.2418809,284.3164258,233.2806436,283.0324477,171.6022821,240.8838748,210.2654707,168.1962527,214.2181069,254.6719362,244.5240854,207.392088,183.3530533,241.0085688,284.4238192,243.3815011,197.5844808,279.7427347,262.7333113,182.3396199,218.6253029,289.2713323,235.9205712,139.1961751,173.6102475
Spnb2;AK137356,43.18563699,56.50647623,43.18563699,56.50647623,38.6186841,55.27295567,47.77405721,72.33996942,42.71436336,64.49860372,34.03055633,41.13708083,44.50296242,53.36218047,26.15963891,37.23567732,38.53397779,69.33088994,27.54118724,40.65182431,35.64444308,56.15984372,24.13169824,49.23685532,35.17305628,60.33952227,22.07835941,38.6171818
Trim28,92.53576802,46.57342932,92.53576802,46.57342932,80.79072889,63.81120334,58.68148207,34.75111074,92.05432308,50.28944859,49.64681619,28.63047106,78.78571701,66.6964288,31.70815501,25.64838386,80.9593772,48.09189915,39.95968336,28.83146536,94.98929332,49.65002862,42.385565,29.04251075,68.62239044,52.94724388,45.55964068,28.49782659
Tsn,105.2348881,170.6183388,105.2348881,170.6183388,130.5173683,131.8511447,104.2140133,111.2709549,113.582389,154.0050434,68.78427946,102.5401093,122.3869197,125.5195251,66.39057563,96.65462498,129.6922591,180.7841122,64.43108509,84.14962042,124.727517,137.9223248,50.11345176,85.85460398,134.3223864,153.4051605,51.85777219,64.3912709
Snrnp70,278.9899648,658.6897671,278.9899648,658.6897671,360.618451,427.4497726,488.8206919,619.4338425,565.9853907,589.7664025,412.3971071,523.4243634,514.3281376,417.8861931,306.3290676,448.472224,393.5176431,724.3344663,246.3945308,356.5932361,403.8124197,510.95344,171.4238758,376.5554778,412.4217679,498.2293231,206.8777133,321.166182
Supt6h,40.55065471,31.24012042,40.55065471,31.24012042,30.93365528,38.45475104,44.77887344,80.95124562,38.32494779,38.10476841,48.7159187,49.8264925,43.94123064,41.55354538,38.01089343,35.71438789,31.16122879,42.4091154,33.74438243,32.84109113,37.60698345,29.78484244,36.51013821,35.58625705,29.99001392,33.97282946,41.95313431,43.62775678
Tpd52,158.0353957,101.5535609,158.0353957,101.5535609,143.9511361,134.4154327,123.3678371,107.5426429,137.668385,113.0916022,127.9380787,103.1947661,149.9899804,121.4609874,111.6536841,72.13971072,135.1369624,95.33379512,93.06904372,71.80327713,134.8138463,108.2491262,88.50003137,60.34357949,128.0152087,110.8073682,116.7267693,76.42615337
