Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Ly86,0.004375012,0.0012938,0.014794199,0.017971367,0.005625852,0.0574082,1.245294875,0.748738625,2.071162452,1.251227219,0.590460338,2.651438978,1.340682615,0.794824357,2.261417707,1.998430699,0.834064098,4.788271392,0.034516942,0.013449889,0.088582088,0.001918407,0.000337168,0.01091527,1.212532772,0.788671893,1.864191861,1.25327558,0.743649181,2.112151429,1.163436431,0.761520722,1.777475373,1.240604532,0.737553136,2.086764368,42.81981692,14.98209258,122.3818844,42.68039046,32.16206443,56.63864438,17.78272542,1.254719429,252.0287133,32.47393347,23.86951249,44.18005419
Sub1,0.017681316,0.011037152,0.028325147,0.014697321,0.009634516,0.02242056,1.25029987,0.772765669,2.022928591,1.418254638,0.746219644,2.695514965,1.46916311,0.898318193,2.40275691,1.829860029,0.978714845,3.421208683,0.005406605,0.000613686,0.047632477,0.001334152,0.0002737,0.006503321,1.222705937,0.791974661,1.88769904,1.218526433,0.72636623,2.044157075,1.204472324,0.782587164,1.853791687,1.295843433,0.76069243,2.207475897,248.0477661,229.4391081,268.1656793,448.4547477,434.9787391,462.3482543,75.45966763,61.10461836,93.18708786,59.63775651,55.57383736,63.99885575
Impdh2,0.013693531,0.009610088,0.019512078,0.01152961,0.007293567,0.018225911,1.459772902,0.921017558,2.313676765,1.481059315,0.766421393,2.862050453,1.204473459,0.763205467,1.900872538,1.624413271,0.843006686,3.130127578,0.013841006,0.006503711,0.029456021,0.002417271,0.000379934,0.015379509,1.254043174,0.819241819,1.919609384,1.253695985,0.743926794,2.11277996,1.223587922,0.796924627,1.878681312,1.258304094,0.745572526,2.123642084,146.4747244,141.3225596,151.8147206,162.7349726,158.0874328,167.5191433,15.75621864,12.23875272,20.28461817,18.27683914,16.51268319,20.22947119
Csk,0.011422988,0.007255486,0.017984273,0.010106439,0.005685043,0.017966464,1.351597565,0.834578322,2.188908972,1.204452368,0.601960251,2.409968938,1.219393304,0.757549008,1.962803745,1.804998713,0.888990618,3.664853475,0.006059019,0.003313437,0.011079647,0.001432469,0.000309557,0.006628729,1.309049037,0.854083764,2.006371566,1.255804216,0.745124168,2.116485141,1.127728065,0.746170482,1.70439681,1.238530558,0.736848736,2.081781332,126.0434864,121.3859417,130.8797397,121.4484574,116.6616438,126.4316817,22.17066833,19.15623655,25.6594521,23.66566935,21.01407933,26.65184123
Cnbp,0.020438506,0.015084057,0.027693645,0.011064297,0.006748862,0.018139157,1.531391747,0.990517098,2.367612522,2.520627708,1.318269942,4.81962293,1.089561173,0.702291595,1.690385529,0.924521786,0.478129267,1.787676663,0.062417035,0.052228773,0.074592722,0.043676013,0.033818868,0.056406208,0.933677778,0.674805991,1.291859001,1.0229439,0.671646987,1.557982456,2.880725265,2.231551196,3.718748675,2.532559535,1.700716461,3.771268138,954.7793,927.6214516,982.732245,591.1248547,572.8065998,610.0289242,41.21989593,33.7199225,50.38801084,33.465718,25.49219961,43.93321478
Rps29,0.006469621,0.003386478,0.012359742,0.006057759,0.003753849,0.009775684,1.432087599,0.858680156,2.388403734,1.363207459,0.690116267,2.692784772,1.194194218,0.730680679,1.951741534,2.436949234,1.265229908,4.69378848,0.004280895,0.003540141,0.005176647,0.004031778,0.003253733,0.004995873,0.667934601,0.478564748,0.932238809,0.647202215,0.435963136,0.960793867,3.645448164,2.873140659,4.625353888,2.943288614,2.223811648,3.895540287,4859.40313,4731.278915,4990.996981,4445.77417,4360.991086,4532.205543,42.28100175,24.86954972,71.88240758,36.11528834,19.09838093,68.29448298
Slc9a3r1,0.018632693,0.011638853,0.029829162,0.009729311,0.004882683,0.019386779,1.399801739,0.859468227,2.279834025,1.694114178,0.803871707,3.570249858,1.239683844,0.767297347,2.002895015,1.343077586,0.65172821,2.767806231,0.018542279,0.013197787,0.026051043,0.010509159,0.005487897,0.020124726,1.140468663,0.771126307,1.686713004,1.262312074,0.760599402,2.09496848,1.406987139,0.950499394,2.082708122,1.371266141,0.823845368,2.282431756,203.2349294,193.1162591,213.8837854,190.4891593,180.9538402,200.5269398,23.47749349,19.56413451,28.1736307,31.5538084,26.38124149,37.74055989
Larp7,0.00899662,0.002739607,0.029544074,0.007850254,0.002471907,0.024930749,1.30133072,0.778448581,2.175431602,1.444041718,0.665352565,3.134062439,1.310061021,0.782755597,2.192587168,1.469808184,0.673823482,3.206086099,0.000705525,0.00021561,0.002308641,0.000463926,0.000146015,0.001474013,1.182113732,0.770728035,1.813081675,1.205368394,0.721058083,2.01497355,1.197186494,0.778874643,1.840161976,1.245526195,0.740499292,2.094985801,5.997107952,5.329715177,6.748072382,5.755591228,5.192240842,6.380064291,1.59398133,1.16917362,2.173138735,0.872832124,0.596197221,1.27782534
Ube2z,0.012947399,0.006206907,0.027007837,0.00783293,0.003235746,0.01896156,1.265341238,0.766775504,2.088079809,1.443666929,0.67877056,3.070513553,1.376138743,0.826684272,2.290787311,1.359575769,0.645160774,2.865094013,0.006224382,0.002701096,0.01434341,0.013038003,0.009120631,0.018637913,1.16229112,0.762167246,1.772472715,1.161682708,0.73380773,1.83904674,1.292678556,0.840160023,1.988928065,1.424219989,0.904950226,2.241452093,42.08686104,38.62316296,45.86118113,42.97422223,40.59689475,45.49076444,9.464270333,7.090204463,12.63326233,6.310431555,5.061575658,7.867420957
Ksr1,0.020366206,0.004203003,0.098687138,0.021138916,0.006240774,0.071602297,1.294328148,0.774065824,2.164267305,1.432226599,0.657662966,3.119033816,1.370080094,0.80861641,2.321396696,1.704476966,0.76468125,3.799284642,0.001956122,0.000478138,0.008002744,0.000717795,0.000178917,0.002879718,1.206004855,0.783909646,1.855376724,1.276005889,0.75288372,2.162606236,1.185177324,0.772154522,1.819124605,1.187647511,0.709850415,1.987047666,0.308297212,0.178516994,0.532426459,0.633409544,0.530865811,0.75576095,0.360411101,0.238438822,0.544777736,0.351121103,0.296341054,0.416027504
Ssr4,0.015220327,0.007651458,0.030276365,0.011184199,0.004211029,0.029704453,1.2714995,0.771878352,2.09451525,1.36515948,0.642902783,2.898821494,1.367354713,0.82344424,2.270534931,1.831738761,0.80204279,4.18340135,0.004679999,0.002243136,0.009764185,0.0034474,0.000870025,0.013660032,1.209969548,0.792968913,1.846259397,1.248905907,0.743891367,2.096765781,1.17223013,0.769327102,1.786136837,1.221914594,0.729176588,2.047618232,157.9892025,147.7474152,168.9409461,132.840464,121.3144009,145.4616165,39.92453846,35.6668097,44.69053399,34.7152398,30.08438857,40.05891201
Fam126a;Drctnnb1a,0.016567877,0.005603006,0.048990587,0.014843691,0.004951163,0.044501702,1.201771786,0.72481538,1.992583858,1.540934934,0.70612975,3.362668788,1.37599754,0.817707554,2.315460117,1.470664479,0.681641341,3.173008851,0.002895496,0.002036755,0.0041163,0.002192969,0.001208071,0.003980821,1.968342761,1.311986196,2.953059442,1.132581841,0.689903545,1.859305747,1.049710981,0.703259228,1.566837804,1.415899047,0.831227413,2.411819052,3.279772961,2.883738704,3.730196035,1.648204771,1.382648442,1.964764782,0.806941897,0.615331631,1.058218353,0.48077056,0.303497365,0.761589253
Ints2,0.012391078,0.003213222,0.04778345,0.007238595,0.002716832,0.019286161,1.332317842,0.792800025,2.238989375,1.36078258,0.640565629,2.890772068,1.302306597,0.778378422,2.178891943,1.604322699,0.727953771,3.53573458,0.001382337,0.000350479,0.005452128,0.001154338,0.000265789,0.005013359,1.194977352,0.777739587,1.836052705,1.2355195,0.735490832,2.075496211,1.192855275,0.776398397,1.832697894,1.247092747,0.740695266,2.099703332,0.734511111,0.502461147,1.073727942,1.362312522,1.129997048,1.642389606,0.904969563,0.681379535,1.201929128,0.519266467,0.326676875,0.825395627
Pdhx,0.005606076,0.001834695,0.017129867,0.007896763,0.00272359,0.022895833,1.214674819,0.73270163,2.013691324,1.279779125,0.604966438,2.707314827,1.377918294,0.811904488,2.338524855,1.689911023,0.745547305,3.830473597,0.00210159,0.000620094,0.007122602,0.001003381,0.000223519,0.004504188,1.175899849,0.766716955,1.803456211,1.245913706,0.740174758,2.097208729,1.226994312,0.794713779,1.894411651,1.230323032,0.732501746,2.066472564,25.78630181,24.11916813,27.56866892,33.3939603,31.07846475,35.88197144,4.293422344,3.42741268,5.378248009,7.322699952,6.59974471,8.124849816
Unc119b,0.028339616,0.015593132,0.051505613,0.015984124,0.006809657,0.037519101,1.348317882,0.809450327,2.245920536,1.853668373,0.855731659,4.015378419,1.293920557,0.787453885,2.126131372,1.149312096,0.557755412,2.368275171,0.011901652,0.007288067,0.019435787,0.006722837,0.001607716,0.028112268,1.234537969,0.809192626,1.883462538,1.35733825,0.797520621,2.31011848,1.310709753,0.852220361,2.01586366,1.218703701,0.72717359,2.042481647,13.3481222,12.14894049,14.66567117,11.08219042,9.813745969,12.51458362,1.090467925,0.606542066,1.960491055,2.782318577,1.931610623,4.007690046
Nckap1l,0.018043003,0.011718407,0.027781077,0.010332616,0.005009268,0.021313085,1.527716134,0.941349267,2.479331176,1.647210704,0.778479422,3.485388344,1.061200057,0.666625106,1.689323654,1.367766797,0.660740744,2.831346524,0.001505525,0.001146982,0.001976147,0.00244867,0.001876545,0.003195225,1.216559809,0.830852156,1.781325062,1.060808774,0.6999538,1.607699331,1.475310192,1.027567095,2.118148948,1.642621672,1.106604758,2.438274316,40.298177,38.68200692,41.98187217,38.31392108,36.48969474,40.22934581,3.056860833,2.685578333,3.479473318,2.13470577,1.764441829,2.582668724
Lrrc8c,0.01639448,0.003196529,0.084084617,0.0133181,0.003189072,0.055618627,1.244998416,0.744479523,2.08201973,1.525365533,0.689476652,3.374646557,1.366267877,0.806384548,2.314885516,1.476157839,0.673885602,3.233548778,0.002974182,0.000577895,0.015306864,0.004757472,0.001336897,0.016929901,1.214448672,0.787824097,1.872100106,1.205724161,0.720561347,2.017553062,1.205392432,0.783302167,1.854930291,1.321459765,0.780221369,2.238154425,0.489146163,0.14594452,1.639417282,0.654678124,0.26804148,1.599019098,0.719817238,0.32781838,1.580560725,0.589006123,0.226153557,1.534038278
Fam192a,0.012555891,0.004838716,0.032581039,0.051485358,0.035143197,0.075426892,1.325277559,0.794293143,2.211224689,1.401550644,0.745046215,2.63654008,1.294223683,0.778381425,2.151920496,1.517798877,0.818617587,2.814150916,0.004041404,0.002890157,0.005651234,0.005189406,0.003481393,0.00773539,1.028104181,0.700639317,1.508619602,1.109199565,0.700992006,1.755117983,1.517342483,1.015718021,2.266700171,1.37614073,0.859647696,2.202952814,20.61888177,18.99919528,22.37664696,30.3391101,28.22210466,32.61491703,3.167617711,2.640224305,3.800359668,2.960838522,2.210542727,3.965797469
Adi1,0.012149,0.002808959,0.052545505,0.00772079,0.00229461,0.025978536,1.289431953,0.771688091,2.154542466,1.415720148,0.654366143,3.062908374,1.311515786,0.78157755,2.200771576,1.479361998,0.672656795,3.253534252,0.006140042,0.002521395,0.014952089,0.006072494,0.002242153,0.016446333,1.219779985,0.794728865,1.872164556,1.266193134,0.755466513,2.122192084,1.203104884,0.78255967,1.849649831,1.27838548,0.755745544,2.162459904,21.58443656,18.74521187,24.85370157,17.82041318,16.14419525,19.6706693,2.485037947,1.646965043,3.74957175,2.427505769,1.773879506,3.3219755
Atg3,0.003938644,0.001773417,0.008747475,0.006916688,0.003375248,0.014173943,1.261493708,0.762799402,2.0862187,1.82186381,0.853314353,3.889759653,1.224285216,0.742623676,2.018349721,1.084538208,0.535781879,2.195339506,0.035390542,0.02691617,0.046533012,0.040908525,0.030211751,0.055392599,0.971077433,0.66950487,1.408490697,1.031773147,0.668440534,1.592596161,1.887045077,1.292335673,2.755428948,1.596820511,1.021867163,2.495271242,356.1410759,347.143323,365.3720453,364.6184098,352.2296786,377.4428812,16.49345425,12.0195493,22.63263174,17.99199054,13.65405523,23.70810122
Snx2,0.005953706,0.002542938,0.013939239,0.008998254,0.005401659,0.014989575,1.344922503,0.804835374,2.247436677,2.300303356,1.178256326,4.490869611,1.209844388,0.73359819,1.995265889,0.995934115,0.5116598,1.938563011,0.00515444,0.001974101,0.013458405,0.006741151,0.002802649,0.016214344,1.217154007,0.792955122,1.868282121,1.237847614,0.743183025,2.061762264,1.229554854,0.800277394,1.889101392,1.311718247,0.781374012,2.202024553,685.1867658,660.6240265,710.6627751,648.7627821,630.481199,667.5744624,109.2706752,100.1062092,119.2741246,81.87615721,73.48526222,91.2251643
Dlst;AK005477,0.002389382,0.000897133,0.006363765,0.013766031,0.005296206,0.035781012,1.20203432,0.72703785,1.987360776,1.12742466,0.542999668,2.340860296,1.357578342,0.80280715,2.295718163,2.11893119,0.903486454,4.969492753,0.003208377,0.001893563,0.005436145,0.001894913,0.000601966,0.00596495,1.179467852,0.780343772,1.782732771,1.20545508,0.721446312,2.014178915,1.270300567,0.831675095,1.940257125,1.278102461,0.757659666,2.15604179,203.1547136,197.6366358,208.8268579,128.914345,117.6675089,141.2361706,11.85743813,10.35692101,13.5753511,13.41146083,11.68928791,15.38736003
Cmpk1,0.003869299,0.001490489,0.010044676,0.003470724,0.001489831,0.008085428,1.247491721,0.752309116,2.068611903,1.343360519,0.638032137,2.828411577,1.26515633,0.761602214,2.101649011,1.311450814,0.625257962,2.750709856,0.011127925,0.00525276,0.023574411,0.020045856,0.012860278,0.031246319,1.214718491,0.79511108,1.855767136,1.334665357,0.82395923,2.161917179,1.228082086,0.80291951,1.878377086,1.296941334,0.799038584,2.105100875,615.4888799,595.5523526,636.0927962,683.1726657,666.2014303,700.576237,67.7185791,58.89609034,77.86265486,48.89957507,40.96045193,58.37749168
Robld3,0.003480102,0.001294514,0.00935572,0.006388122,0.00237224,0.017202351,1.168426511,0.707799092,1.9288249,1.39959275,0.65378621,2.996178012,1.429149845,0.833229749,2.45126783,1.520651329,0.696871624,3.318230194,0.010754226,0.00662774,0.017449896,0.001641769,0.000396216,0.006802863,1.159497624,0.766435579,1.754139261,1.266515474,0.751518906,2.134425939,1.217803949,0.799577748,1.854787057,1.238904278,0.737159371,2.082160071,163.5855301,151.6744561,176.4319869,144.5638718,131.7583377,158.6139699,31.84416506,22.00977321,46.07275316,39.27066832,29.54440638,52.1988958
Nubp1,0.0180388,0.011344375,0.028683669,0.015402346,0.009502645,0.024964868,1.429346642,0.877904716,2.327168071,2.874764673,1.532030864,5.394324699,1.150500139,0.716160543,1.848259561,0.807837015,0.422814015,1.543469749,0.017915698,0.009719641,0.033023055,0.016251258,0.012766889,0.020686589,1.157392734,0.763547388,1.75438743,1.074145892,0.715996497,1.611445588,1.276457667,0.833057093,1.955861357,2.879471815,2.038262952,4.067854897,34.89884673,32.41005336,37.57875649,39.40535731,37.94470472,40.92223661,4.237397392,2.5490725,7.043948988,4.128803266,3.736037767,4.562859765
Sucla2,0.004142448,0.001565731,0.010959659,0.004965164,0.003168167,0.007781425,1.160594945,0.703397752,1.914962937,0.724399186,0.385320933,1.361862636,1.479988117,0.853647869,2.565888004,8.587455988,5.010976292,14.71657339,0.010317128,0.00460223,0.023128599,0.005016572,0.001332326,0.018888764,1.231899372,0.804572941,1.886188292,1.423623107,0.81904245,2.47447828,1.233178951,0.803457777,1.892732098,1.188907701,0.711542761,1.986530676,129.5823209,124.3576137,135.0265367,177.7850577,173.3241789,182.360747,20.63477018,17.50760768,24.32049818,19.80262092,17.37127962,22.57426072
Card9,0.014857154,0.01073318,0.02056567,0.014800278,0.009067408,0.024157756,1.44233317,0.922041518,2.256216162,1.858421812,0.954455872,3.618534636,1.230606261,0.787130653,1.923939519,1.170317935,0.599129389,2.286057228,0.008465642,0.003763346,0.01904345,0.00193249,0.000606974,0.006152679,1.220215225,0.79494653,1.872987852,1.257280485,0.749232254,2.109832045,1.196914067,0.780679618,1.835071967,1.221486375,0.729125901,2.046325555,43.28343118,40.88367549,45.82404571,29.39453223,28.10117552,30.74741568,8.187950492,6.153382503,10.89523254,4.995640817,4.239984217,5.885971714
Mon2,0.008246818,0.002052419,0.033136506,0.034814706,0.019129946,0.063359498,1.31004132,0.78092938,2.197648473,1.95763273,0.954831297,4.013615722,1.272115187,0.762426427,2.122535356,1.289088907,0.635256574,2.615872513,0.002068934,0.000687063,0.006230124,0.00074257,0.000197491,0.002792076,1.186738758,0.774143618,1.819234633,1.21913619,0.72760437,2.042721444,1.218451273,0.792160367,1.874145143,1.246138343,0.740655989,2.096601923,0.677827374,0.470687971,0.976124265,0.778183335,0.656279502,0.922730788,0.724421362,0.52578551,0.998099605,0.262359231,0.171981891,0.400230313
Xpo7,0.011156746,0.002519154,0.049410638,0.007366967,0.002993677,0.018128946,1.314995374,0.783327991,2.2075208,1.307255349,0.621652234,2.748991241,1.292455363,0.772568995,2.162189886,1.734184324,0.779195223,3.859617179,0.004973547,0.000554729,0.044591468,0.002515698,0.00034903,0.018132346,1.205383071,0.782835351,1.856007585,1.250763825,0.742217735,2.107750961,1.217513709,0.789095446,1.878530206,1.251341342,0.742413281,2.109142163,4.25780634,1.8489775,9.804832579,9.940647949,8.959750315,11.02893252,4.031257059,1.735268064,9.365142951,2.415797076,1.66257957,3.510253353
Cd97,0.048240345,0.030163914,0.077149499,0.023680073,0.014556751,0.038521362,1.206158218,0.745627107,1.951132989,0.856181592,0.44586394,1.64410452,1.548499091,0.940493416,2.549565359,5.005773232,2.704366787,9.265668317,0.028091603,0.015373491,0.051331095,0.090360374,0.054760812,0.149102922,1.278013502,0.833567453,1.959431724,1.458799889,0.873630501,2.435923557,1.214550416,0.791450911,1.863833488,1.221711336,0.73185683,2.039440675,26.1264406,23.17557588,29.45302857,37.4696844,34.02539409,41.26263005,4.671019128,3.252687305,6.707813462,6.299581332,4.002585601,9.914772328
Wdfy3,0.005720133,0.001759241,0.018598882,0.013053782,0.004244389,0.040147407,1.396306511,0.817778019,2.384108924,1.534177529,0.700859288,3.358307054,1.1731924,0.707506312,1.945396649,1.591298548,0.71841946,3.524725054,0.000376134,0.000173029,0.000817651,0.001261455,0.000400664,0.003971582,1.161574196,0.761310741,1.77227844,1.237402991,0.738046846,2.074619207,1.230628672,0.79960159,1.894001896,1.238189342,0.737616384,2.07846908,0.325338797,0.286222071,0.369801437,0.77440079,0.617775186,0.970735953,0.078428761,0.048890767,0.125812518,0.274654014,0.158606604,0.475609622
Snap23,0.017728389,0.010678709,0.029432003,0.011597665,0.003904543,0.034448546,1.407471498,0.860001036,2.303457709,1.58675602,0.721723431,3.488586569,1.181729555,0.730899668,1.910638084,1.359850856,0.638782686,2.894872375,0.02486234,0.018796647,0.032885437,0.024725585,0.017689473,0.03456036,1.294636863,0.887299306,1.888973197,1.348646196,0.859117125,2.117111287,1.522595194,1.049866526,2.208181772,1.455926432,0.915227682,2.316059507,132.5202179,125.5765184,139.8478662,116.3456481,105.6216609,128.1584641,11.66133455,8.86663364,15.33690563,10.85327258,8.213236227,14.34191376
Zfp326;Znf326,0.005025954,0.001637478,0.01542629,0.003887773,0.001425516,0.010603025,1.256910588,0.755650756,2.090680402,1.273107216,0.602919844,2.6882545,1.321126378,0.786930343,2.217953499,1.589575628,0.710389239,3.556853816,0.001825478,0.000601428,0.005540764,0.002055634,0.001417347,0.002981367,1.204287481,0.784344977,1.849069452,1.218912239,0.770084572,1.929329711,1.204298964,0.782926683,1.852454421,1.22433841,0.757959707,1.977683679,20.55209723,19.24689499,21.94581,22.12956336,21.17049015,23.13208484,3.005559243,2.392096902,3.776346332,2.769309118,2.490641195,3.079156085
Lpl;AK170106,0.043606933,0.01704184,0.11158212,0.136566618,0.070592195,0.264199763,1.44812327,0.874640277,2.397626841,2.138083684,1.229536532,3.717987813,1.275545519,0.771693478,2.108371287,1.733640491,0.840239572,3.576967156,0.000870318,0.000701603,0.001079603,0.000591915,0.000466999,0.000750243,1.575260579,1.122540765,2.210561941,5.172317334,3.437123565,7.783504461,0.954646019,0.674236707,1.35167518,0.923315827,0.592408463,1.439061339,3.703527544,2.008776234,6.828095653,2.526596835,1.345202088,4.745526061,5.765543405,4.347630208,7.645887338,5.390852773,4.517747634,6.432695222
Acp2,0.002957227,0.000960242,0.009107278,0.005932697,0.001795162,0.019606525,1.245819651,0.749442733,2.070960909,1.305658731,0.611936444,2.785819898,1.291044808,0.771823061,2.15955804,1.612286835,0.706884293,3.677361151,0.006035944,0.001721461,0.021163772,0.000575565,0.000148804,0.002226256,1.233674919,0.799878873,1.902730348,1.230479143,0.732694251,2.066453941,1.1838302,0.771766582,1.815903894,1.229115332,0.732178276,2.063328767,7.227505703,4.439451996,11.76650603,6.090824971,4.548221322,8.156627878,9.947648468,6.952678864,14.23274568,9.367569997,7.862320156,11.16100158
Dci,0.003667898,0.001430493,0.009404784,0.003885737,0.001438029,0.010499754,1.150117681,0.697887892,1.895391359,1.073423527,0.51722659,2.22772396,1.529103239,0.870770816,2.68515742,2.13711731,0.816497391,5.593735444,0.012467482,0.001578654,0.098462446,0.00326434,0.000334945,0.03181389,1.217820755,0.790749088,1.875547392,1.256996071,0.744929737,2.121057926,1.207637624,0.784604185,1.858757141,1.255447149,0.744174494,2.11798114,99.07244461,95.47529703,102.8051191,78.94047735,75.00859278,83.07846787,13.56703504,11.25072139,16.36023446,15.27807849,12.67177335,18.4204433
Idh2,0.002908445,0.001068628,0.007915807,0.003642366,0.001383424,0.009589853,1.179247966,0.713914196,1.947889219,1.116756641,0.537753017,2.319178796,1.39801115,0.81942816,2.385120834,1.916690716,0.789151854,4.655255236,0.008021369,0.001167096,0.055130306,0.002996414,0.000362459,0.024771056,1.223688101,0.794046267,1.885800149,1.272785138,0.751692692,2.155112088,1.208582843,0.784977381,1.860782901,1.239929671,0.736815794,2.086580667,441.4067605,427.1562204,456.1327189,414.307151,400.2661209,428.8407297,59.08072785,52.71508169,66.21506202,62.00827192,57.98725947,66.30811356
Rps11,0.006573246,0.00332431,0.012997453,0.006443775,0.003773575,0.011003421,1.179561799,0.720867638,1.930126926,1.750178217,0.87445521,3.502893867,1.348367329,0.813692424,2.234375545,1.279704234,0.644237574,2.54198605,0.002220748,0.00143624,0.003433773,0.003160528,0.002435152,0.004101977,0.959977017,0.647105091,1.424120883,0.663782365,0.438442922,1.004935892,1.80419234,1.132964064,2.873092011,4.889661193,3.530563391,6.771946551,845.0441355,820.5924813,870.2243894,868.1040083,850.1402615,886.4473351,49.37975879,40.86096719,59.67456832,34.89144582,30.31998464,40.15216386
Bid,0.008798962,0.002878013,0.026901106,0.022214096,0.008472534,0.058243032,1.322845478,0.789650916,2.21606804,1.477680817,0.690010075,3.164505382,1.292714297,0.774802084,2.156822094,1.652502779,0.758849168,3.598561545,0.023384169,0.002806688,0.194827293,0.003122018,0.000339871,0.028678556,1.257497557,0.809294917,1.953923188,1.2508968,0.74213963,2.108421034,1.205857765,0.782903281,1.857308537,1.264193207,0.747983512,2.136657346,32.41885586,25.41912641,41.3461186,18.25984209,14.3339053,23.26106014,18.6625499,12.34692238,28.20871127,18.11624288,14.84160732,22.11339034
Eif5b,0.006919491,0.003150868,0.015195607,0.00944057,0.005334784,0.016706277,1.382360089,0.826055878,2.31330527,1.799828658,0.888147632,3.647347675,1.188927983,0.723224454,1.954510445,1.168772897,0.586857771,2.327702132,0.000748785,0.000308054,0.001820067,0.001493091,0.001147161,0.001943337,1.140773118,0.747916531,1.739984682,1.371315992,0.905727531,2.076239804,1.282895024,0.825173685,1.994513,1.710261923,1.138897858,2.568268808,34.32357708,33.03069872,35.66706092,38.22619593,37.01168954,39.48055529,4.632872761,4.095386496,5.24089974,2.667048204,2.295599871,3.098600158
Puf60,0.022970232,0.016231227,0.032507189,0.015081256,0.008291523,0.027430941,1.307549655,0.826070497,2.069661253,1.615888589,0.792495925,3.294775215,1.447506991,0.912900154,2.295186917,1.384905442,0.683707736,2.805238236,0.004619965,0.002248788,0.009491367,0.009928615,0.007778514,0.012673036,1.184113342,0.776769605,1.805071153,1.293775194,0.871910783,1.919754045,1.318632886,0.849796972,2.046127188,1.872634256,1.265702117,2.770603769,59.39284665,56.81463438,62.08805657,55.36574549,52.57443205,58.30525703,10.39296515,9.127707316,11.83360958,6.311500483,5.734811561,6.946180869
AK049578;Cltc,0.001832978,0.000877739,0.003827801,0.001744942,0.000906726,0.003358041,1.110723646,0.680147262,1.813882208,0.943703488,0.476302884,1.869768801,1.538121533,0.892335492,2.651264992,2.542485096,1.106887975,5.840004234,0.020294089,0.01629075,0.02528122,0.009302279,0.007044081,0.012284412,1.156661354,0.817324617,1.636883878,1.252917456,0.819387635,1.915823581,1.397120894,0.985760322,1.980143398,1.695557858,1.117269905,2.573161988,665.1960752,657.0061492,673.4880929,560.4035909,553.906396,566.9769965,69.92694476,65.09142278,75.12168878,67.06334694,63.49223733,70.83531296
Snrpa,0.012799276,0.005689177,0.028795284,0.016617388,0.009375343,0.029453597,1.459387101,0.864450078,2.463775254,2.040749133,0.997567609,4.174811798,1.165560163,0.709115351,1.915810299,1.109889572,0.558729903,2.204741245,0.002955813,0.000649076,0.01346042,0.007893428,0.003657041,0.017037328,1.187386814,0.773137922,1.823591116,1.164645935,0.700888616,1.935257791,1.225510916,0.79347379,1.892787167,1.448314688,0.836494696,2.507625506,104.4025515,97.53661053,111.7518098,147.4575883,139.5012151,155.8677487,17.62837092,14.94152768,20.79837269,13.97985422,11.12496337,17.56736786
Fhod1,0.00679729,0.001887458,0.024479031,0.011289971,0.0032248,0.039526006,1.215108534,0.731479573,2.018496215,1.567567165,0.706045243,3.480324871,1.343160082,0.795833834,2.266904129,1.371370355,0.637929739,2.948062359,0.001204747,0.000616433,0.002354537,0.000408277,0.000154473,0.00107909,1.211973973,0.793078251,1.852126078,1.196330399,0.716913403,1.996344911,1.171819034,0.769310443,1.784922928,1.285514632,0.763182757,2.165337009,1.68441673,1.493229845,1.900082383,1.327383176,1.16428086,1.513334246,0.268537022,0.163030428,0.442323148,0.223484021,0.164374324,0.303849812
Mogs,0.019308791,0.0095695,0.038960176,0.006558738,0.001982063,0.021703167,1.321374558,0.798842897,2.185699753,1.449610174,0.664243994,3.163550859,1.22318745,0.744089874,2.01076186,1.396667327,0.646426746,3.017634458,0.001468151,0.000671822,0.00320839,0.000790468,0.000341822,0.001827969,1.137894265,0.744198231,1.739863526,1.027453571,0.614814019,1.717040939,1.258505957,0.81169968,1.951260157,1.437150282,0.823050993,2.509444677,6.469345042,5.932809791,7.054402003,3.054015583,2.732396304,3.413491363,1.338112595,1.060289601,1.688732318,0.516166861,0.3787535,0.703434366
