Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Bptf,0.030611946,0.010781098,0.086919832,0.016688788,0.002598548,0.10718124,1.311748718,0.785125985,2.191603298,1.544253693,0.687092223,3.470741469,1.328547892,0.793326648,2.224858457,1.50415047,0.678552673,3.334256464,0.000700035,0.000351547,0.001393978,0.001051495,0.000384265,0.002877294,1.235884621,0.804272954,1.899119931,1.199818092,0.718108521,2.004660034,1.183431815,0.774101857,1.809207468,1.240181217,0.738965784,2.081354084,0.316923443,0.24209053,0.414888053,0.137971608,0.039851717,0.477674891,0.122307607,0.066901256,0.223600445,0.291856669,0.164739532,0.517060564
Baiap2,0.014063201,0.00456613,0.043313181,0.039919066,0.026088487,0.061081804,1.294599649,0.776357564,2.158783953,2.910076544,1.593698695,5.313768232,1.318701043,0.788913505,2.204262479,1.005070745,0.526558799,1.91843191,0.00452468,0.001890582,0.010828799,0.001053504,0.000237228,0.004678497,1.25807708,0.818731292,1.933183641,1.240610469,0.737746477,2.086237461,1.199193654,0.783960151,1.834360353,1.237571022,0.73628163,2.080157881,9.69533078,8.355403122,11.25013809,9.136558754,8.245986257,10.12331373,4.656763546,3.710531675,5.844296349,5.125992431,4.424048117,5.93931117
Grhpr,0.004604154,0.001702439,0.012451685,0.01590015,0.008234138,0.030703247,1.290028379,0.773964696,2.150192675,1.314554331,0.642657107,2.688919285,1.252783883,0.754715053,2.079549694,1.609982526,0.776658327,3.337431201,0.18955389,0.126411718,0.284235336,0.00272351,0.000326771,0.0226994,1.322522297,0.873304544,2.002812462,1.254673046,0.74382272,2.116370488,1.321170559,0.860120796,2.029356404,1.25463241,0.743786424,2.11633667,121.4328922,113.3932356,130.0425658,85.19591743,77.47965043,93.68065429,14.32234885,8.627837171,23.77533008,40.06596519,34.1348146,47.02769256
Nolc1,0.014642655,0.007395031,0.028993432,0.028277511,0.016071871,0.049752618,1.370605229,0.824769382,2.277677534,1.885148898,0.919960288,3.862978012,1.304767753,0.790118044,2.154638668,1.335668741,0.661499431,2.696919908,0.003201331,0.001160205,0.008833367,0.001533445,0.000374823,0.006273516,1.191910134,0.776725294,1.829024726,1.201285989,0.716866355,2.013050296,1.238321836,0.799865103,1.917124481,1.280611127,0.754989783,2.17216828,28.656653,26.90255821,30.5251179,26.51203018,24.40156487,28.80502739,4.537367617,3.91546254,5.258051807,3.640317486,3.09186616,4.286055966
Agap3,0.007023193,0.001887091,0.026138245,0.015659097,0.004778604,0.051313583,1.290466328,0.771721525,2.15790708,1.308763555,0.614732995,2.786351241,1.293230579,0.773063291,2.163400269,1.635152627,0.737600895,3.624892716,0.000854117,0.000412172,0.001769932,0.0008274,0.000550423,0.001243752,1.20946903,0.79032515,1.850903181,1.498756253,0.92182372,2.436767746,1.202126327,0.782925611,1.845779072,1.183563515,0.721421838,1.941752413,3.041839127,2.644528871,3.498840711,2.664735248,2.342326511,3.031521825,0.346754438,0.187339119,0.641823452,0.112927204,0.052722747,0.241879531
Gopc,0.009675415,0.00234836,0.039863415,0.028190735,0.018436375,0.043105955,1.291206004,0.772225024,2.158972958,1.374321708,0.716333148,2.636706343,1.322101061,0.786626257,2.22208603,2.166925794,1.165702365,4.028101461,0.011148898,0.002525667,0.049213896,0.006514115,0.004251246,0.00998147,1.253223511,0.809207777,1.940872561,1.241406212,0.774084367,1.990854549,1.182092427,0.769436836,1.816058761,1.395891138,0.859481471,2.267078624,4.66755084,3.304938391,6.591962774,4.518829433,4.23669598,4.819750943,1.90460102,0.875948583,4.141230564,0.976726368,0.819560331,1.164031934
Rpl35a,0.011623952,0.004859896,0.027802294,0.005267363,0.002650326,0.010468566,1.316584101,0.79122038,2.190784945,1.516277479,0.724423497,3.173692465,1.2500683,0.755542379,2.068276774,1.414950737,0.682224064,2.934645219,0.00038189,0.000206687,0.000705605,0.000457012,0.000263531,0.000792545,1.011962505,0.670943389,1.526310758,0.933780258,0.578078916,1.508350411,1.434521199,0.911370123,2.257975127,1.555432438,0.91988522,2.630078208,174.8945884,163.9101384,186.6151621,192.0580849,185.7295137,198.6022967,8.110175007,5.214140504,12.6147231,8.408124499,4.884772789,14.47284462
Apoe,0.088910926,0.047412558,0.166731203,0.112363733,0.059014241,0.213941724,0.890807062,0.561302093,1.413743566,1.190187169,0.630136424,2.24799812,2.257283134,1.359816096,3.747070773,3.972625732,2.036672879,7.748792343,0.006342799,0.00484758,0.008299214,0.006490527,0.004996474,0.008431335,2.111518492,1.49603921,2.980209549,2.080898326,1.360136102,3.183606285,0.898784956,0.611689988,1.320627134,0.895992151,0.563058697,1.425787293,4.903372272,2.729775521,8.807705782,4.505948268,2.232020585,9.096497554,6.3910144,4.716358595,8.660296761,5.34448524,4.270496092,6.688572442
Cox4i1,0.009204705,0.002742571,0.030893126,0.005993375,0.001805016,0.019900399,1.345641487,0.798895607,2.266567741,1.43262815,0.65790051,3.119656216,1.272316842,0.763668165,2.119755963,1.408861207,0.650158389,3.052932846,0.00066393,0.000242558,0.001817309,0.00095875,0.000491905,0.001868655,1.168821808,0.76396123,1.788237891,1.193491839,0.724018745,1.967383827,1.200040355,0.781417021,1.842929981,1.240907371,0.748269483,2.057883074,350.5574404,319.6873203,384.4084867,386.622455,341.8646221,437.2401033,73.25002906,64.66868928,82.97008672,51.24867678,45.27198336,58.01439825
Rab21,0.013546037,0.006551964,0.028006121,0.010063276,0.005422349,0.018676319,1.344018497,0.810257788,2.229396306,1.6419204,0.792246045,3.402860282,1.203318852,0.73268464,1.976261247,1.601035142,0.775660135,3.304686436,0.006409884,0.003467239,0.011849952,0.007299325,0.004711649,0.011308174,1.23358892,0.804928201,1.890530882,1.119338164,0.694858526,1.803126649,1.202173327,0.78877382,1.832237168,1.153602514,0.707326962,1.881447805,57.05750975,52.9707225,61.45960005,59.44345155,56.43523091,62.61202223,8.606057621,6.213717959,11.91947048,13.49055275,11.65835437,15.61069493
Acadvl,0.008425522,0.003554783,0.019970115,0.007225602,0.002571019,0.020306859,1.254987551,0.758285967,2.077044573,1.224579172,0.582616044,2.573897788,1.419252917,0.840187749,2.397415153,1.820552919,0.780440249,4.24685033,0.005932649,0.000976372,0.036048068,0.003463989,0.000360606,0.033275122,1.204449203,0.783029059,1.852674388,1.262849112,0.747736893,2.132819573,1.228144664,0.794732189,1.897921508,1.250780302,0.742099352,2.108142741,72.40356775,68.25576686,76.8034243,98.76742835,92.55026553,105.4022357,13.34607344,11.11362841,16.02695983,16.88216353,14.90994704,19.11525538
Abce1,0.0098359,0.005472241,0.017679216,0.009546619,0.005654063,0.016119017,1.293219322,0.789082791,2.119443274,1.614800432,0.811532946,3.213154131,1.176973356,0.723161143,1.915570679,1.391983066,0.701363884,2.762641333,0.002512054,0.000677204,0.009318336,0.004164389,0.001798141,0.009644476,1.19676549,0.779239432,1.838007137,1.239106136,0.743374212,2.06542545,1.220075098,0.790996,1.881909952,1.280650178,0.761632294,2.153355221,69.23059434,66.65600712,71.90462495,59.01197319,57.02564041,61.06749445,7.998819671,6.682059264,9.575059663,4.196224556,3.128147488,5.628986674
Ywhaq,0.006134859,0.003853363,0.00976718,0.004221213,0.001893501,0.009410417,1.600413749,0.975646492,2.625258419,1.569307598,0.731492088,3.366716305,1.073420452,0.671651999,1.715518555,1.189060891,0.576543675,2.45231344,0.015682231,0.010101896,0.024345169,0.026918642,0.018958638,0.038220746,1.101793323,0.73713608,1.646844537,1.062317265,0.677011107,1.666912048,1.492245846,0.974598734,2.284835377,2.010592975,1.261691948,3.204018317,523.3797873,512.7899957,534.1882721,618.2898678,602.7547739,634.2253552,40.14435339,34.2966608,46.98909665,42.65072912,37.45577696,48.56619837
Prdx5,0.002871691,0.001230395,0.006702408,0.002612025,0.001111407,0.006138771,1.227723999,0.743180525,2.028183148,1.38232141,0.651271658,2.933971497,1.30490859,0.783381233,2.173636995,1.264753886,0.604853936,2.644609378,0.020737495,0.017422052,0.024683872,0.038781214,0.031394098,0.04790654,0.782767022,0.565142104,1.08419494,0.937744972,0.643970933,1.365536217,2.856542462,2.316270743,3.522832925,3.525254504,2.740281058,4.535089306,4495.947293,4410.658373,4582.885445,5528.771437,5423.924489,5635.645124,237.4262807,219.2021444,257.1655442,261.940787,235.6340599,291.1844574
